Year,Award,Winner,Name,Film
1996,ACTOR IN A SUPPORTING ROLE,1,"CUBA GOODING, JR.",JERRY MAGUIRE
1981,ACTOR IN A SUPPORTING ROLE,0,"HOWARD E. ROLLINS, JR.",RAGTIME
1982,ACTOR IN A SUPPORTING ROLE,1,"LOUIS GOSSETT, JR.",AN OFFICER AND A GENTLEMAN
2006,ACTRESS IN A SUPPORTING ROLE,0,ABIGAIL BRESLIN,LITTLE MISS SUNSHINE
1984,ACTOR IN A SUPPORTING ROLE,0,ADOLPH CAESAR,A SOLDIER'S STORY
1931,ACTOR IN A LEADING ROLE,0,ADOLPHE MENJOU,THE FRONT PAGE
2006,ACTRESS IN A SUPPORTING ROLE,0,ADRIANA BARRAZA,BABEL
2002,ACTOR IN A LEADING ROLE,1,ADRIEN BRODY,THE PIANIST
1964,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,"HUSH...HUSH, SWEET CHARLOTTE"
1948,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,JOHNNY BELINDA
1944,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,MRS. PARKINGTON
1942,ACTRESS IN A SUPPORTING ROLE,0,AGNES MOOREHEAD,THE MAGNIFICENT AMBERSONS
1943,ACTOR IN A SUPPORTING ROLE,0,AKIM TAMIROFF,FOR WHOM THE BELL TOLLS
1936,ACTOR IN A SUPPORTING ROLE,0,AKIM TAMIROFF,THE GENERAL DIED AT DAWN
1992,ACTOR IN A SUPPORTING ROLE,0,AL PACINO,GLENGARRY GLEN ROSS
1992,ACTOR IN A LEADING ROLE,1,AL PACINO,SCENT OF A WOMAN
1990,ACTOR IN A SUPPORTING ROLE,0,AL PACINO,DICK TRACY
1979,ACTOR IN A LEADING ROLE,0,AL PACINO,...AND JUSTICE FOR ALL
1975,ACTOR IN A LEADING ROLE,0,AL PACINO,DOG DAY AFTERNOON
1974,ACTOR IN A LEADING ROLE,0,AL PACINO,THE GODFATHER PART II
1973,ACTOR IN A LEADING ROLE,0,AL PACINO,SERPICO
1972,ACTOR IN A SUPPORTING ROLE,0,AL PACINO,THE GODFATHER
2004,ACTOR IN A SUPPORTING ROLE,0,ALAN ALDA,THE AVIATOR
2012,ACTOR IN A SUPPORTING ROLE,0,ALAN ARKIN,ARGO
2006,ACTOR IN A SUPPORTING ROLE,1,ALAN ARKIN,LITTLE MISS SUNSHINE
1968,ACTOR IN A LEADING ROLE,0,ALAN ARKIN,THE HEART IS A LONELY HUNTER
1966,ACTOR IN A LEADING ROLE,0,ALAN ARKIN,THE RUSSIANS ARE COMING THE RUSSIANS ARE COMING
1968,ACTOR IN A LEADING ROLE,0,ALAN BATES,THE FIXER
1940,ACTOR IN A SUPPORTING ROLE,0,ALBERT BASSERMAN,FOREIGN CORRESPONDENT
1987,ACTOR IN A SUPPORTING ROLE,0,ALBERT BROOKS,BROADCAST NEWS
2000,ACTOR IN A SUPPORTING ROLE,0,ALBERT FINNEY,ERIN BROCKOVICH
1984,ACTOR IN A LEADING ROLE,0,ALBERT FINNEY,UNDER THE VOLCANO
1983,ACTOR IN A LEADING ROLE,0,ALBERT FINNEY,THE DRESSER
1974,ACTOR IN A LEADING ROLE,0,ALBERT FINNEY,MURDER ON THE ORIENT EXPRESS
1963,ACTOR IN A LEADING ROLE,0,ALBERT FINNEY,TOM JONES
2003,ACTOR IN A SUPPORTING ROLE,0,ALEC BALDWIN,THE COOLER
1988,ACTOR IN A SUPPORTING ROLE,0,ALEC GUINNESS,LITTLE DORRIT
1977,ACTOR IN A SUPPORTING ROLE,0,ALEC GUINNESS,STAR WARS
1957,ACTOR IN A LEADING ROLE,1,ALEC GUINNESS,THE BRIDGE ON THE RIVER KWAI
1952,ACTOR IN A LEADING ROLE,0,ALEC GUINNESS,THE LAVENDER HILL MOB
1944,ACTOR IN A LEADING ROLE,0,ALEXANDER KNOX,WILSON
1983,ACTRESS IN A SUPPORTING ROLE,0,ALFRE WOODARD,CROSS CREEK
1932,ACTOR IN A LEADING ROLE,0,ALFRED LUNT,THE GUARDSMAN
1970,ACTRESS IN A LEADING ROLE,0,ALI MACGRAW,LOVE STORY
1937,ACTRESS IN A SUPPORTING ROLE,1,ALICE BRADY,IN OLD CHICAGO
1936,ACTRESS IN A SUPPORTING ROLE,0,ALICE BRADY,MY MAN GODFREY
2015,ACTRESS IN A SUPPORTING ROLE,1,ALICIA VIKANDER,THE DANISH GIRL
1944,ACTRESS IN A SUPPORTING ROLE,0,ALINE MACMAHON,DRAGON SEED
2013,ACTRESS IN A LEADING ROLE,0,AMY ADAMS,AMERICAN HUSTLE
2012,ACTRESS IN A SUPPORTING ROLE,0,AMY ADAMS,THE MASTER
2010,ACTRESS IN A SUPPORTING ROLE,0,AMY ADAMS,THE FIGHTER
2008,ACTRESS IN A SUPPORTING ROLE,0,AMY ADAMS,DOUBT
2005,ACTRESS IN A SUPPORTING ROLE,0,AMY ADAMS,JUNEBUG
1983,ACTRESS IN A SUPPORTING ROLE,0,AMY IRVING,YENTL
1985,ACTRESS IN A SUPPORTING ROLE,0,AMY MADIGAN,TWICE IN A LIFETIME
2007,ACTRESS IN A SUPPORTING ROLE,0,AMY RYAN,GONE BABY GONE
1937,ACTRESS IN A SUPPORTING ROLE,0,ANDREA LEEDS,STAGE DOOR
2016,ACTOR IN A LEADING ROLE,0,ANDREW GARFIELD,HACKSAW RIDGE
1990,ACTOR IN A SUPPORTING ROLE,0,ANDY GARCIA,"THE GODFATHER, PART III"
1993,ACTRESS IN A LEADING ROLE,0,ANGELA BASSETT,WHAT'S LOVE GOT TO DO WITH IT
1962,ACTRESS IN A SUPPORTING ROLE,0,ANGELA LANSBURY,THE MANCHURIAN CANDIDATE
1945,ACTRESS IN A SUPPORTING ROLE,0,ANGELA LANSBURY,THE PICTURE OF DORIAN GRAY
1944,ACTRESS IN A SUPPORTING ROLE,0,ANGELA LANSBURY,GASLIGHT
2008,ACTRESS IN A LEADING ROLE,0,ANGELINA JOLIE,CHANGELING
1999,ACTRESS IN A SUPPORTING ROLE,1,ANGELINA JOLIE,"GIRL, INTERRUPTED"
1990,ACTRESS IN A LEADING ROLE,0,ANJELICA HUSTON,THE GRIFTERS
1989,ACTRESS IN A SUPPORTING ROLE,0,ANJELICA HUSTON,"ENEMIES, A LOVE STORY"
1985,ACTRESS IN A SUPPORTING ROLE,1,ANJELICA HUSTON,PRIZZI'S HONOR
1945,ACTRESS IN A SUPPORTING ROLE,0,ANN BLYTH,MILDRED PIERCE
1931,ACTRESS IN A LEADING ROLE,0,ANN HARDING,HOLIDAY
1987,ACTRESS IN A SUPPORTING ROLE,0,ANN SOTHERN,THE WHALES OF AUGUST
1975,ACTRESS IN A LEADING ROLE,0,ANN-MARGRET,TOMMY
1971,ACTRESS IN A SUPPORTING ROLE,0,ANN-MARGRET,CARNAL KNOWLEDGE
2009,ACTRESS IN A SUPPORTING ROLE,0,ANNA KENDRICK,UP IN THE AIR
1957,ACTRESS IN A LEADING ROLE,0,ANNA MAGNANI,WILD IS THE WIND
1955,ACTRESS IN A LEADING ROLE,1,ANNA MAGNANI,THE ROSE TATTOO
1993,ACTRESS IN A SUPPORTING ROLE,1,ANNA PAQUIN,THE PIANO
1987,ACTRESS IN A SUPPORTING ROLE,0,ANNE ARCHER,FATAL ATTRACTION
1985,ACTRESS IN A LEADING ROLE,0,ANNE BANCROFT,AGNES OF GOD
1977,ACTRESS IN A LEADING ROLE,0,ANNE BANCROFT,THE TURNING POINT
1967,ACTRESS IN A LEADING ROLE,0,ANNE BANCROFT,THE GRADUATE
1964,ACTRESS IN A LEADING ROLE,0,ANNE BANCROFT,THE PUMPKIN EATER
1962,ACTRESS IN A LEADING ROLE,1,ANNE BANCROFT,THE MIRACLE WORKER
1950,ACTRESS IN A LEADING ROLE,0,ANNE BAXTER,ALL ABOUT EVE
1946,ACTRESS IN A SUPPORTING ROLE,1,ANNE BAXTER,THE RAZOR'S EDGE
2012,ACTRESS IN A SUPPORTING ROLE,1,ANNE HATHAWAY,LES MISí©RABLES
2008,ACTRESS IN A LEADING ROLE,0,ANNE HATHAWAY,RACHEL GETTING MARRIED
1987,ACTRESS IN A SUPPORTING ROLE,0,ANNE RAMSEY,THROW MOMMA FROM THE TRAIN
1947,ACTRESS IN A SUPPORTING ROLE,0,ANNE REVERE,GENTLEMAN'S AGREEMENT
1945,ACTRESS IN A SUPPORTING ROLE,1,ANNE REVERE,NATIONAL VELVET
1943,ACTRESS IN A SUPPORTING ROLE,0,ANNE REVERE,THE SONG OF BERNADETTE
1937,ACTRESS IN A SUPPORTING ROLE,0,ANNE SHIRLEY,STELLA DALLAS
2010,ACTRESS IN A LEADING ROLE,0,ANNETTE BENING,THE KIDS ARE ALL RIGHT
2004,ACTRESS IN A LEADING ROLE,0,ANNETTE BENING,BEING JULIA
1999,ACTRESS IN A LEADING ROLE,0,ANNETTE BENING,AMERICAN BEAUTY
1990,ACTRESS IN A SUPPORTING ROLE,0,ANNETTE BENING,THE GRIFTERS
1966,ACTRESS IN A LEADING ROLE,0,ANOUK AIMEE,A MAN AND A WOMAN
1957,ACTOR IN A LEADING ROLE,0,ANTHONY FRANCIOSA,A HATFUL OF RAIN
1997,ACTOR IN A SUPPORTING ROLE,0,ANTHONY HOPKINS,AMISTAD
1995,ACTOR IN A LEADING ROLE,0,ANTHONY HOPKINS,NIXON
1993,ACTOR IN A LEADING ROLE,0,ANTHONY HOPKINS,THE REMAINS OF THE DAY
1991,ACTOR IN A LEADING ROLE,1,ANTHONY HOPKINS,THE SILENCE OF THE LAMBS
1956,ACTOR IN A SUPPORTING ROLE,0,ANTHONY PERKINS,FRIENDLY PERSUASION
1969,ACTOR IN A SUPPORTING ROLE,0,ANTHONY QUAYLE,ANNE OF THE THOUSAND DAYS
1964,ACTOR IN A LEADING ROLE,0,ANTHONY QUINN,ZORBA THE GREEK
1957,ACTOR IN A LEADING ROLE,0,ANTHONY QUINN,WILD IS THE WIND
1956,ACTOR IN A SUPPORTING ROLE,1,ANTHONY QUINN,LUST FOR LIFE
1952,ACTOR IN A SUPPORTING ROLE,1,ANTHONY QUINN,VIVA ZAPATA!
1996,ACTOR IN A SUPPORTING ROLE,0,ARMIN MUELLER-STAHL,SHINE
1974,ACTOR IN A LEADING ROLE,1,ART CARNEY,HARRY AND TONTO
1952,ACTOR IN A SUPPORTING ROLE,0,ARTHUR HUNNICUTT,THE BIG SKY
1958,ACTOR IN A SUPPORTING ROLE,0,ARTHUR KENNEDY,SOME CAME RUNNING
1957,ACTOR IN A SUPPORTING ROLE,0,ARTHUR KENNEDY,PEYTON PLACE
1955,ACTOR IN A SUPPORTING ROLE,0,ARTHUR KENNEDY,TRIAL
1951,ACTOR IN A LEADING ROLE,0,ARTHUR KENNEDY,BRIGHT VICTORY
1949,ACTOR IN A SUPPORTING ROLE,0,ARTHUR KENNEDY,CHAMPION
1959,ACTOR IN A SUPPORTING ROLE,0,ARTHUR O'CONNELL,ANATOMY OF A MURDER
1955,ACTOR IN A SUPPORTING ROLE,0,ARTHUR O'CONNELL,PICNIC
1967,ACTRESS IN A LEADING ROLE,0,AUDREY HEPBURN,WAIT UNTIL DARK
1961,ACTRESS IN A LEADING ROLE,0,AUDREY HEPBURN,BREAKFAST AT TIFFANY'S
1959,ACTRESS IN A LEADING ROLE,0,AUDREY HEPBURN,THE NUN'S STORY
1954,ACTRESS IN A LEADING ROLE,0,AUDREY HEPBURN,SABRINA
1953,ACTRESS IN A LEADING ROLE,1,AUDREY HEPBURN,ROMAN HOLIDAY
1953,ACTRESS IN A LEADING ROLE,0,AVA GARDNER,MOGAMBO
1979,ACTRESS IN A SUPPORTING ROLE,0,BARBARA BARRIE,BREAKING AWAY
1948,ACTRESS IN A SUPPORTING ROLE,0,BARBARA BEL GEDDES,I REMEMBER MAMA
1971,ACTRESS IN A SUPPORTING ROLE,0,BARBARA HARRIS,WHO IS HARRY KELLERMAN AND WHY IS HE SAYING THOSE TERRIBLE THINGS ABOUT ME?
1996,ACTRESS IN A SUPPORTING ROLE,0,BARBARA HERSHEY,THE PORTRAIT OF A LADY
1940,ACTRESS IN A SUPPORTING ROLE,0,BARBARA O'NEIL,"ALL THIS, AND HEAVEN TOO"
1948,ACTRESS IN A LEADING ROLE,0,BARBARA STANWYCK,"SORRY, WRONG NUMBER"
1944,ACTRESS IN A LEADING ROLE,0,BARBARA STANWYCK,DOUBLE INDEMNITY
1941,ACTRESS IN A LEADING ROLE,0,BARBARA STANWYCK,BALL OF FIRE
1937,ACTRESS IN A LEADING ROLE,0,BARBARA STANWYCK,STELLA DALLAS
1973,ACTRESS IN A LEADING ROLE,0,BARBRA STREISAND,THE WAY WE WERE
1968,ACTRESS IN A LEADING ROLE,1,BARBRA STREISAND,FUNNY GIRL
2013,ACTOR IN A SUPPORTING ROLE,0,BARKHAD ABDI,CAPTAIN PHILLIPS
1944,ACTOR IN A LEADING ROLE,0,BARRY FITZGERALD,GOING MY WAY
1944,ACTOR IN A SUPPORTING ROLE,1,BARRY FITZGERALD,GOING MY WAY
1938,ACTOR IN A SUPPORTING ROLE,0,BASIL RATHBONE,IF I WERE KING
1936,ACTOR IN A SUPPORTING ROLE,0,BASIL RATHBONE,ROMEO AND JULIET
1967,ACTRESS IN A SUPPORTING ROLE,0,BEAH RICHARDS,GUESS WHO'S COMING TO DINNER
1976,ACTRESS IN A SUPPORTING ROLE,1,BEATRICE STRAIGHT,NETWORK
1971,ACTOR IN A SUPPORTING ROLE,1,BEN JOHNSON,THE LAST PICTURE SHOW
2003,ACTOR IN A LEADING ROLE,0,BEN KINGSLEY,HOUSE OF SAND AND FOG
2001,ACTOR IN A SUPPORTING ROLE,0,BEN KINGSLEY,SEXY BEAST
1991,ACTOR IN A SUPPORTING ROLE,0,BEN KINGSLEY,BUGSY
1982,ACTOR IN A LEADING ROLE,1,BEN KINGSLEY,GANDHI
2014,ACTOR IN A LEADING ROLE,0,BENEDICT CUMBERBATCH,THE IMITATION GAME
2003,ACTOR IN A SUPPORTING ROLE,0,BENICIO DEL TORO,21 GRAMS
2000,ACTOR IN A SUPPORTING ROLE,1,BENICIO DEL TORO,TRAFFIC
1929,ACTRESS IN A LEADING ROLE,0,BESSIE LOVE,THE BROADWAY MELODY
1955,ACTRESS IN A SUPPORTING ROLE,0,BETSY BLAIR,MARTY
1962,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,WHAT EVER HAPPENED TO BABY JANE?
1952,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,THE STAR
1950,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,ALL ABOUT EVE
1944,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,MR. SKEFFINGTON
1942,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,"NOW, VOYAGER"
1941,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,THE LITTLE FOXES
1940,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,THE LETTER
1939,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,DARK VICTORY
1938,ACTRESS IN A LEADING ROLE,1,BETTE DAVIS,JEZEBEL
1935,ACTRESS IN A LEADING ROLE,1,BETTE DAVIS,DANGEROUS
1934,ACTRESS IN A LEADING ROLE,0,BETTE DAVIS,OF HUMAN BONDAGE
1991,ACTRESS IN A LEADING ROLE,0,BETTE MIDLER,FOR THE BOYS
1979,ACTRESS IN A LEADING ROLE,0,BETTE MIDLER,THE ROSE
1929,ACTRESS IN A LEADING ROLE,0,BETTY COMPSON,THE BARKER
1938,ACTRESS IN A SUPPORTING ROLE,0,BEULAH BONDI,OF HUMAN HEARTS
1936,ACTRESS IN A SUPPORTING ROLE,0,BEULAH BONDI,THE GORGEOUS HUSSY
2003,ACTOR IN A LEADING ROLE,0,BILL MURRAY,LOST IN TRANSLATION
1938,ACTRESS IN A SUPPORTING ROLE,0,BILLIE BURKE,MERRILY WE LIVE
1998,ACTOR IN A SUPPORTING ROLE,0,BILLY BOB THORNTON,A SIMPLE PLAN
1996,ACTOR IN A LEADING ROLE,0,BILLY BOB THORNTON,SLING BLADE
1954,ACTOR IN A LEADING ROLE,0,BING CROSBY,THE COUNTRY GIRL
1945,ACTOR IN A LEADING ROLE,0,BING CROSBY,THE BELLS OF ST. MARY'S
1944,ACTOR IN A LEADING ROLE,1,BING CROSBY,GOING MY WAY
1986,ACTOR IN A LEADING ROLE,0,BOB HOSKINS,MONA LISA
1963,ACTOR IN A SUPPORTING ROLE,0,BOBBY DARIN,"CAPTAIN NEWMAN, M.D."
1936,ACTRESS IN A SUPPORTING ROLE,0,BONITA GRANVILLE,THESE THREE
1975,ACTOR IN A SUPPORTING ROLE,0,BRAD DOURIF,ONE FLEW OVER THE CUCKOO'S NEST
2011,ACTOR IN A LEADING ROLE,0,BRAD PITT,MONEYBALL
2008,ACTOR IN A LEADING ROLE,0,BRAD PITT,THE CURIOUS CASE OF BENJAMIN BUTTON
1995,ACTOR IN A SUPPORTING ROLE,0,BRAD PITT,12 MONKEYS
2014,ACTOR IN A LEADING ROLE,0,BRADLEY COOPER,AMERICAN SNIPER
2013,ACTOR IN A SUPPORTING ROLE,0,BRADLEY COOPER,AMERICAN HUSTLE
2012,ACTOR IN A LEADING ROLE,0,BRADLEY COOPER,SILVER LININGS PLAYBOOK
1953,ACTOR IN A SUPPORTING ROLE,0,BRANDON DE WILDE,SHANE
1998,ACTRESS IN A SUPPORTING ROLE,0,BRENDA BLETHYN,LITTLE VOICE
1996,ACTRESS IN A LEADING ROLE,0,BRENDA BLETHYN,SECRETS & LIES
1989,ACTRESS IN A SUPPORTING ROLE,1,BRENDA FRICKER,MY LEFT FOOT
1975,ACTRESS IN A SUPPORTING ROLE,0,BRENDA VACCARO,JACQUELINE SUSANN'S ONCE IS NOT ENOUGH
1939,ACTOR IN A SUPPORTING ROLE,0,BRIAN AHERNE,JUAREZ
1939,ACTOR IN A SUPPORTING ROLE,0,BRIAN DONLEVY,BEAU GESTE
2015,ACTRESS IN A LEADING ROLE,1,BRIE LARSON,ROOM
1949,ACTOR IN A LEADING ROLE,1,BRODERICK CRAWFORD,ALL THE KING'S MEN
1990,ACTOR IN A SUPPORTING ROLE,0,BRUCE DAVISON,LONGTIME COMPANION
2013,ACTOR IN A LEADING ROLE,0,BRUCE DERN,NEBRASKA
1978,ACTOR IN A SUPPORTING ROLE,0,BRUCE DERN,COMING HOME
2015,ACTOR IN A LEADING ROLE,0,BRYAN CRANSTON,TRUMBO
1976,ACTOR IN A SUPPORTING ROLE,0,BURGESS MEREDITH,ROCKY
1975,ACTOR IN A SUPPORTING ROLE,0,BURGESS MEREDITH,THE DAY OF THE LOCUST
1958,ACTOR IN A SUPPORTING ROLE,1,BURL IVES,THE BIG COUNTRY
1981,ACTOR IN A LEADING ROLE,0,BURT LANCASTER,ATLANTIC CITY
1962,ACTOR IN A LEADING ROLE,0,BURT LANCASTER,BIRDMAN OF ALCATRAZ
1960,ACTOR IN A LEADING ROLE,1,BURT LANCASTER,ELMER GANTRY
1953,ACTOR IN A LEADING ROLE,0,BURT LANCASTER,FROM HERE TO ETERNITY
1997,ACTOR IN A SUPPORTING ROLE,0,BURT REYNOLDS,BOOGIE NIGHTS
1976,ACTOR IN A SUPPORTING ROLE,0,BURT YOUNG,ROCKY
2011,ACTRESS IN A SUPPORTING ROLE,0,Bí©Rí©NICE BEJO,THE ARTIST
1979,ACTRESS IN A SUPPORTING ROLE,0,CANDICE BERGEN,STARTING OVER
1973,ACTRESS IN A SUPPORTING ROLE,0,CANDY CLARK,AMERICAN GRAFFITI
1958,ACTRESS IN A SUPPORTING ROLE,0,CARA WILLIAMS,THE DEFIANT ONES
2009,ACTRESS IN A LEADING ROLE,0,CAREY MULLIGAN,AN EDUCATION
1967,ACTRESS IN A SUPPORTING ROLE,0,CAROL CHANNING,THOROUGHLY MODERN MILLIE
1975,ACTRESS IN A LEADING ROLE,0,CAROL KANE,HESTER STREET
1936,ACTRESS IN A LEADING ROLE,0,CAROLE LOMBARD,MY MAN GODFREY
1957,ACTRESS IN A SUPPORTING ROLE,0,CAROLYN JONES,THE BACHELOR PARTY
1970,ACTRESS IN A LEADING ROLE,0,CARRIE SNODGRESS,DIARY OF A MAD HOUSEWIFE
1956,ACTRESS IN A LEADING ROLE,0,CARROLL BAKER,BABY DOLL
1944,ACTOR IN A LEADING ROLE,0,CARY GRANT,NONE BUT THE LONELY HEART
1941,ACTOR IN A LEADING ROLE,0,CARY GRANT,PENNY SERENADE
2016,ACTOR IN A LEADING ROLE,0,CASEY AFFLECK,MANCHESTER BY THE SEA
2007,ACTOR IN A SUPPORTING ROLE,0,CASEY AFFLECK,THE ASSASSINATION OF JESSE JAMES BY THE COWARD ROBERT FORD
2004,ACTRESS IN A LEADING ROLE,0,CATALINA SANDINO MORENO,MARIA FULL OF GRACE
2015,ACTRESS IN A LEADING ROLE,0,CATE BLANCHETT,CAROL
2013,ACTRESS IN A LEADING ROLE,1,CATE BLANCHETT,BLUE JASMINE
2007,ACTRESS IN A SUPPORTING ROLE,0,CATE BLANCHETT,I'M NOT THERE
2007,ACTRESS IN A LEADING ROLE,0,CATE BLANCHETT,ELIZABETH: THE GOLDEN AGE
2006,ACTRESS IN A SUPPORTING ROLE,0,CATE BLANCHETT,NOTES ON A SCANDAL
2004,ACTRESS IN A SUPPORTING ROLE,1,CATE BLANCHETT,THE AVIATOR
1998,ACTRESS IN A LEADING ROLE,0,CATE BLANCHETT,ELIZABETH
1969,ACTRESS IN A SUPPORTING ROLE,0,CATHERINE BURNS,LAST SUMMER
1992,ACTRESS IN A LEADING ROLE,0,CATHERINE DENEUVE,INDOCHINE
2005,ACTRESS IN A SUPPORTING ROLE,0,CATHERINE KEENER,CAPOTE
1999,ACTRESS IN A SUPPORTING ROLE,0,CATHERINE KEENER,BEING JOHN MALKOVICH
2002,ACTRESS IN A SUPPORTING ROLE,1,CATHERINE ZETA-JONES,CHICAGO
1980,ACTRESS IN A SUPPORTING ROLE,0,CATHY MORIARTY,RAGING BULL
1967,ACTOR IN A SUPPORTING ROLE,0,CECIL KELLAWAY,GUESS WHO'S COMING TO DINNER
1948,ACTOR IN A SUPPORTING ROLE,0,CECIL KELLAWAY,THE LUCK OF THE IRISH
1950,ACTRESS IN A SUPPORTING ROLE,0,CELESTE HOLM,ALL ABOUT EVE
1949,ACTRESS IN A SUPPORTING ROLE,0,CELESTE HOLM,COME TO THE STABLE
1947,ACTRESS IN A SUPPORTING ROLE,1,CELESTE HOLM,GENTLEMAN'S AGREEMENT
1946,ACTRESS IN A LEADING ROLE,0,CELIA JOHNSON,BRIEF ENCOUNTER
1948,ACTOR IN A SUPPORTING ROLE,0,CHARLES BICKFORD,JOHNNY BELINDA
1947,ACTOR IN A SUPPORTING ROLE,0,CHARLES BICKFORD,THE FARMER'S DAUGHTER
1943,ACTOR IN A SUPPORTING ROLE,0,CHARLES BICKFORD,THE SONG OF BERNADETTE
1961,ACTOR IN A LEADING ROLE,0,CHARLES BOYER,FANNY
1944,ACTOR IN A LEADING ROLE,0,CHARLES BOYER,GASLIGHT
1938,ACTOR IN A LEADING ROLE,0,CHARLES BOYER,ALGIERS
1937,ACTOR IN A LEADING ROLE,0,CHARLES BOYER,CONQUEST
1940,ACTOR IN A LEADING ROLE,0,CHARLES CHAPLIN,THE GREAT DICTATOR
1946,ACTOR IN A SUPPORTING ROLE,0,CHARLES COBURN,THE GREEN YEARS
1943,ACTOR IN A SUPPORTING ROLE,1,CHARLES COBURN,THE MORE THE MERRIER
1941,ACTOR IN A SUPPORTING ROLE,0,CHARLES COBURN,THE DEVIL AND MISS JONES
1983,ACTOR IN A SUPPORTING ROLE,0,CHARLES DURNING,TO BE OR NOT TO BE
1982,ACTOR IN A SUPPORTING ROLE,0,CHARLES DURNING,THE BEST LITTLE WHOREHOUSE IN TEXAS
1957,ACTOR IN A LEADING ROLE,0,CHARLES LAUGHTON,WITNESS FOR THE PROSECUTION
1935,ACTOR IN A LEADING ROLE,0,CHARLES LAUGHTON,MUTINY ON THE BOUNTY
1933,ACTOR IN A LEADING ROLE,1,CHARLES LAUGHTON,THE PRIVATE LIFE OF HENRY VIII
2005,ACTRESS IN A LEADING ROLE,0,CHARLIZE THERON,NORTH COUNTRY
2003,ACTRESS IN A LEADING ROLE,1,CHARLIZE THERON,MONSTER
2015,ACTRESS IN A LEADING ROLE,0,CHARLOTTE RAMPLING,45 YEARS
1959,ACTOR IN A LEADING ROLE,1,CHARLTON HESTON,BEN-HUR
1994,ACTOR IN A SUPPORTING ROLE,0,CHAZZ PALMINTERI,BULLETS OVER BROADWAY
1987,ACTRESS IN A LEADING ROLE,1,CHER,MOONSTRUCK
1983,ACTRESS IN A SUPPORTING ROLE,0,CHER,SILKWOOD
1929,ACTOR IN A LEADING ROLE,0,CHESTER MORRIS,ALIBI
1970,ACTOR IN A SUPPORTING ROLE,0,CHIEF DAN GEORGE,LITTLE BIG MAN
1960,ACTOR IN A SUPPORTING ROLE,0,CHILL WILLS,THE ALAMO
2013,ACTOR IN A LEADING ROLE,0,CHIWETEL EJIOFOR,12 YEARS A SLAVE
1999,ACTRESS IN A SUPPORTING ROLE,0,CHLOí‚ SEVIGNY,BOYS DON'T CRY
2002,ACTOR IN A SUPPORTING ROLE,1,CHRIS COOPER,ADAPTATION
1975,ACTOR IN A SUPPORTING ROLE,0,CHRIS SARANDON,DOG DAY AFTERNOON
2015,ACTOR IN A SUPPORTING ROLE,0,CHRISTIAN BALE,THE BIG SHORT
2013,ACTOR IN A LEADING ROLE,0,CHRISTIAN BALE,AMERICAN HUSTLE
2010,ACTOR IN A SUPPORTING ROLE,1,CHRISTIAN BALE,THE FIGHTER
1984,ACTRESS IN A SUPPORTING ROLE,0,CHRISTINE LAHTI,SWING SHIFT
2012,ACTOR IN A SUPPORTING ROLE,1,CHRISTOPH WALTZ,DJANGO UNCHAINED
2009,ACTOR IN A SUPPORTING ROLE,1,CHRISTOPH WALTZ,INGLOURIOUS BASTERDS
2011,ACTOR IN A SUPPORTING ROLE,1,CHRISTOPHER PLUMMER,BEGINNERS
2009,ACTOR IN A SUPPORTING ROLE,0,CHRISTOPHER PLUMMER,THE LAST STATION
2002,ACTOR IN A SUPPORTING ROLE,0,CHRISTOPHER WALKEN,CATCH ME IF YOU CAN
1978,ACTOR IN A SUPPORTING ROLE,1,CHRISTOPHER WALKEN,THE DEER HUNTER
1972,ACTRESS IN A LEADING ROLE,0,CICELY TYSON,SOUNDER
1954,ACTRESS IN A SUPPORTING ROLE,0,CLAIRE TREVOR,THE HIGH AND THE MIGHTY
1948,ACTRESS IN A SUPPORTING ROLE,1,CLAIRE TREVOR,KEY LARGO
1937,ACTRESS IN A SUPPORTING ROLE,0,CLAIRE TREVOR,DEAD END
1939,ACTOR IN A LEADING ROLE,0,CLARK GABLE,GONE WITH THE WIND
1935,ACTOR IN A LEADING ROLE,0,CLARK GABLE,MUTINY ON THE BOUNTY
1934,ACTOR IN A LEADING ROLE,1,CLARK GABLE,IT HAPPENED ONE NIGHT
1946,ACTOR IN A SUPPORTING ROLE,0,CLAUDE RAINS,NOTORIOUS
1944,ACTOR IN A SUPPORTING ROLE,0,CLAUDE RAINS,MR. SKEFFINGTON
1943,ACTOR IN A SUPPORTING ROLE,0,CLAUDE RAINS,CASABLANCA
1939,ACTOR IN A SUPPORTING ROLE,0,CLAUDE RAINS,MR. SMITH GOES TO WASHINGTON
1944,ACTRESS IN A LEADING ROLE,0,CLAUDETTE COLBERT,SINCE YOU WENT AWAY
1935,ACTRESS IN A LEADING ROLE,0,CLAUDETTE COLBERT,PRIVATE WORLDS
